Time	Heading	mFLt	mFR	mBL	mBR
1	-0,0375	-100	-100	-100	-100
2	-0,0394	-100	-100	-100	-100
3	-0,0409	-100	-100	-100	-100
4	-0,0408	-100	-100	-100	-100
5	-0,0411	-100	-100	-100	-100
6	-0,0420	-100	-100	-100	-100
7	-0,0453	-100	-100	-100	-100
8	-0,0445	-100	-100	-100	-100
9	-0,0476	-100	-100	-100	-100
10	-0,0469	-100	-100	-100	-100
11	-0,0472	-100	-100	-100	-100
12	-0,0472	-100	-100	-100	-100
13	-0,0457	-99	-99	-99	-99
14	-0,0456	-99	-99	-99	-99
15	-0,0439	-99	-99	-99	-99
16	-0,0468	-99	-99	-99	-99
17	-0,0453	-99	-99	-99	-99
18	-0,0433	-99	-99	-99	-99
19	-0,0420	-99	-99	-99	-99
20	-0,0424	-99	-99	-99	-99
21	-0,0425	-99	-99	-99	-99
22	-0,0426	-99	-99	-99	-99
23	-0,0427	-99	-99	-99	-99
24	-0,0454	-99	-99	-99	-99
25	-0,0437	-99	-99	-99	-99
26	-0,0450	-98	-98	-98	-98
27	-0,0396	-98	-98	-98	-98
28	-0,0353	-98	-98	-98	-98
29	-0,0323	-98	-98	-98	-98
30	-0,0286	-98	-98	-98	-98
31	-0,0246	-98	-98	-98	-98
32	-0,0185	-98	-98	-98	-98
33	-0,0118	-98	-98	-98	-98
34	-0,0087	-98	-98	-98	-98
35	-0,0029	-98	-98	-98	-98
36	0,0031	-98	-98	-98	-98
37	0,0061	-98	-98	-98	-98
38	0,0129	-98	-98	-98	-98
39	0,0189	-97	-97	-97	-97
40	0,0205	-97	-97	-97	-97
41	0,0256	-97	-97	-97	-97
42	0,0310	-97	-97	-97	-97
43	0,0323	-97	-97	-97	-97
44	0,0367	-97	-97	-97	-97
45	0,0393	-97	-97	-97	-97
46	0,0402	-97	-97	-97	-97
47	0,0448	-97	-97	-97	-97
48	0,0487	-97	-97	-97	-97
49	0,0527	-97	-97	-97	-97
50	0,0566	-97	-97	-97	-97
51	0,0602	-97	-97	-97	-97
52	0,0654	-96	-96	-96	-96
53	0,0682	-96	-96	-96	-96
54	0,0717	-96	-96	-96	-96
55	0,0743	-96	-96	-96	-96
56	0,0770	-96	-96	-96	-96
57	0,0771	-96	-96	-96	-96
58	0,0767	-96	-96	-96	-96
59	0,0769	-96	-96	-96	-96
60	0,0793	-96	-96	-96	-96
